Date,SMB %,HML %,WML %,Rm %,Rf %,Rm-Rf %
19950105,0.35273413,0.54087097,0.18762729,-1.05505749,0.03907604,-1.09413353
19950106,1.18519389,-0.96315393,-0.20040135,-0.93547315,0.03907604,-0.97454919
19950109,-0.34896711,-0.6174781,0.17052953,-1.90922199,0.04142813,-1.95065012
19950110,-0.55060318,0.30690454,-0.6693094,-2.35099855,0.04142813,-2.39242668
19950111,-1.5831808,-1.15298438,-0.19195243,-1.50955551,0.04142813,-1.55098364
19950112,0.82261874,-0.10209526,-0.308168,0.39591784,0.04142813,0.35448971
19950113,0.60189496,-0.89119099,0.06532123,0.27457913,0.04142813,0.233151
19950116,-0.00692579,0.78313202,-0.9710162,1.02266792,0.04121159,0.98145633
19950117,1.38909786,0.13637896,0.15314344,0.59459287,0.04121159,0.55338128
19950118,-0.17351047,0.06914625,0.47147613,0.25239809,0.04121159,0.2111865
19950119,0.82025796,-0.00601909,-0.00231465,0.272869,0.04121159,0.23165741
19950120,1.22873976,0.31334516,0.39638374,-0.37592242,0.04121159,-0.41713401
19950123,0.33469261,-0.46183705,-0.26361916,-2.46474075,0.04150028,-2.50624103
19950124,-0.58701571,0.2446474,-0.52269974,-2.37276033,0.04150028,-2.41426061
19950125,-0.10976576,-0.61049981,0.83879062,0.17620157,0.04150028,0.13470129
19950127,0.09368826,-0.45597249,0.06847114,0.34057495,0.04150028,0.29907467
19950130,-0.93323341,0.02401703,0.29112374,1.07370581,0.04211307,1.03159274
19950131,0.05832978,0.13956511,0.37062191,0.67697755,0.04211307,0.63486448
19950201,0.11356402,0.10956074,0.49662334,0.0005124,0.04211307,-0.04160067
19950202,-0.49866166,-0.07652835,-0.23292972,0.00995831,0.04211307,-0.03215476
19950203,-0.43655569,0.32682959,0.79227752,0.49565703,0.04211307,0.45354396
19950206,0.85671068,-0.28629848,-0.108123,-0.72324793,0.04211307,-0.765361
19950207,-0.47781263,0.29285273,-0.23584152,-0.96906218,0.04211307,-1.01117525
19950208,-0.02520125,-0.56431127,0.11186234,-0.93670778,0.04211307,-0.97882085
19950209,-0.44874378,0.19189698,0.37285103,-0.55688837,0.04211307,-0.59900144
19950210,0.29971723,0.38733097,0.50494056,-0.33391408,0.04211307,-0.37602715
19950213,-0.09053179,0.06398203,-0.70728136,-0.61344478,0.04258104,-0.65602582
19950214,0.05127091,-0.69713227,-0.03409958,-0.51182056,0.04258104,-0.5544016
19950215,-0.65302282,0.2688136,0.23921852,-0.42953344,0.04258104,-0.47211448
19950216,0.10068541,0.61288002,0.28496835,-1.66002796,0.04258104,-1.702609
19950217,0.04241001,-0.90936768,-0.17163836,-1.27499706,0.04258104,-1.3175781
19950220,-0.06902252,0.30547964,-0.25223358,-1.10876772,0.04319218,-1.1519599
19950221,0.49787048,-0.50808775,-0.02052203,-1.75408314,0.04319218,-1.79727532
19950222,-0.96858649,0.87165041,-0.0595457,-1.5304132,0.04319218,-1.57360538
19950223,-1.72581477,0.13729335,0.58486464,2.94081083,0.04319218,2.89761865
19950224,-1.52189307,2.65122125,0.34100558,3.24043099,0.04319218,3.19723881
19950228,0.89120512,-0.42737277,0.3991916,-0.58361341,0.04347946,-0.62709287
19950301,-0.68084529,0.2402957,0.29288506,1.14096673,0.04347946,1.09748727
19950302,-0.33343349,-0.23651975,-0.34697941,1.6418924,0.04347946,1.59841294
19950303,0.11688749,0.72246354,0.83238753,0.61545608,0.04347946,0.57197662
19950306,0.37033262,0.24701811,0.13496967,0.16921895,0.04394584,0.12527311
19950307,-0.14750085,-0.10963563,-0.32608043,-0.35461813,0.04394584,-0.39856397
19950308,-0.6838032,0.1570085,0.01500367,-0.68978841,0.04394584,-0.73373425
19950309,-0.40006911,0.79100471,0.2680773,-0.12716862,0.04394584,-0.17111446
19950310,-0.16587969,0.11046351,-0.00855827,1.48230693,0.04394584,1.43836109
19950313,0.67272142,0.2273938,-0.10729279,-2.18453997,0.04437587,-2.22891584
19950314,-0.27341046,-0.90182143,-0.34914735,0.4634599,0.04437587,0.41908403
19950315,0.76696523,-1.06066699,-1.10406011,1.05989,0.04437587,1.01551413
