Date,SMB,HML,WML,Ret,Ret_rf,Ret_ex
20191113,-0.61054491,-1.02505771,1.94622842,-0.44471356,0.01963226,-0.46434582
20191114,-0.56558853,-1.59502114,1.4756955,0.01744365,0.01970844,-0.00226479
20191115,-0.9203726,-0.33291148,-1.20489587,0.10542439,0.01970844,0.08571595
20191118,-0.42462388,-0.33771044,-1.03421936,0.01533866,0.01970844,-0.00436978
20191119,-0.59195835,1.08020569,-1.45550506,0.3884046,0.01970844,0.36869616
20191120,-0.60485637,-0.65769862,-1.01946007,0.36924427,0.01970844,0.34953583
20191121,0.23261693,-0.12972393,-0.24417173,-0.33791872,0.01959417,-0.35751289
20191122,0.09237448,0.4888373,-2.28917439,-0.34047677,0.01959417,-0.36007094
20191125,-0.68016725,-0.29962391,0.28389225,1.18269645,0.01959417,1.16310228
20191126,0.2665426,-0.49441876,1.34294018,-0.58480894,0.01959417,-0.60440311
20191127,-0.66089045,-0.36431745,0.04448682,0.6253039,0.01959417,0.60570973
20191128,-0.51579071,0.40027617,-1.96462589,0.59650857,0.01947987,0.5770287
20191129,1.23412298,0.67592553,0.93352552,-0.52858049,0.01947987,-0.54806036
20191202,-0.74775886,-0.52688349,0.13765529,-0.24122835,0.01947987,-0.26070822
20191203,-0.22633011,-0.76188563,2.16072174,-0.56285713,0.01947987,-0.582337
20191204,-0.39364175,-0.43162674,-0.60858135,0.3748145,0.01947987,0.35533463
20191205,0.45986949,0.03215764,0.64603755,-0.36018033,0.01909862,-0.37927895
20191206,-0.1121125,-0.35806263,2.00615187,-0.90109568,0.01909862,-0.9201943
20191209,-0.59190449,-0.32112361,0.8894761,-0.16880124,0.01909862,-0.18789986
20191210,-0.23992282,-0.39348722,0.99463274,-0.93854892,0.01909862,-0.95764754
20191211,-1.09261053,-1.02265659,0.67462061,0.36814812,0.01909862,0.3490495
20191212,0.02257162,0.14734369,-1.6054548,0.5605987,0.01951797,0.54108073
20191213,-0.01840413,0.28006777,-0.62288076,1.01709917,0.01951797,0.9975812
20191216,0.43167419,-0.09127915,0.21401062,-0.32849893,0.01951797,-0.3480169
20191217,-0.12378732,-0.21679877,0.32301455,0.74299214,0.01951797,0.72347417
20191218,-0.06675391,-0.56391789,0.50584595,0.19259771,0.01951797,0.17307974
20191219,-0.61872868,-0.55224443,0.0781288,0.40606609,0.01955607,0.38651002
20191220,-0.2278147,-0.20545288,-0.20280722,0.20877513,0.01955607,0.18921906
20191223,0.13875323,-0.55654282,0.20720157,-0.10736854,0.01955607,-0.12692461
20191224,0.12878041,-0.37701314,-0.12564485,-0.25265365,0.01955607,-0.27220972
20191226,1.06661437,0.70185502,0.02111806,-0.33800386,0.01963226,-0.35763612
20191227,-0.25630554,0.15456279,0.23077311,0.83285419,0.01963226,0.81322193
20191230,0.51175225,-0.17232104,-0.36871945,0.15797357,0.01963226,0.13834131
20191231,0.94688644,1.00956735,-0.54148544,-0.40860902,0.01963226,-0.42824128
